,Latitude,Longitude,Confidence,Surface Temperature (Celcius)
102,-36.7751,145.1696,91,68
103,-37.6397,142.5968,91,68
104,-37.7171,142.9505,91,68
105,-37.0782,145.3625,91,68
106,-36.7651,143.5801,91,68
107,-36.3487,145.5315,91,68
108,-37.6171,142.9426,91,68
109,-36.4449,140.9836,91,68
110,-37.3803,145.611,91,68
111,-38.0674,142.965,91,68
112,-37.45,148.126,64,69
113,-36.94,143.281,89,69
114,-37.8644,143.4263,91,69
115,-36.7685,142.7134,91,69
116,-36.5541,144.1321,91,69
117,-35.6819,143.5275,91,69
118,-36.3153,140.9789,91,69
119,-36.6564,142.8615,91,69
120,-36.3961,140.9781,91,69
121,-37.6964,142.8583,91,69
122,-36.2637,145.3649,91,69
123,-36.6892,145.2775,91,69
124,-36.1748,145.7582,91,69
125,-37.4611,144.9371,91,69
126,-35.6453,142.387,91,69
127,-35.2363,143.0004,91,69
128,-36.031,145.6824,91,69
129,-36.7593,142.895,92,69
130,-36.6334,142.2244,92,69
131,-37.9091,143.5105,87,70
132,-37.95,142.366,92,70
133,-36.9396,143.1462,92,70
134,-36.3207,140.9737,92,70
135,-37.4463,142.7829,92,70
136,-36.803000000000004,142.9261,92,70
137,-36.882,142.7108,92,70
138,-37.9284,143.108,92,70
139,-37.6498,142.5997,92,70
140,-36.5828,144.5775,92,70
141,-36.2652,145.3769,92,70
142,-36.1924,143.1716,92,70
143,-36.9364,143.4996,92,70
144,-36.0749,143.4058,92,70
145,-37.4033,143.6884,92,70
146,-37.2063,147.4713,92,70
147,-37.2082,147.4368,92,70
148,-36.0157,145.9414,92,70
149,-38.0715,142.9591,92,70
150,-37.6625,144.287,92,70
151,-36.6299,142.4234,66,71
152,-36.0844,141.4934,81,71
153,-37.0193,148.1459,84,71
154,-38.0148,146.5413,87,71
155,-38.2391,142.82,92,71
156,-37.7889,143.1324,92,71
157,-36.663000000000004,142.8567,92,71
158,-36.1346,145.2196,92,71
159,-36.0714,145.7665,92,71
160,-36.5586,144.0423,92,71
161,-36.1367,145.2071,92,71
162,-37.8161,142.9286,92,71
163,-36.4557,142.2434,92,71
164,-36.6823,142.5024,93,71
165,-36.282,146.157,100,71
166,-37.634,149.237,100,71
167,-37.562,148.05,61,72
